district,block,klpid,school_name,dise_code,village,child_count,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,Village,District,Block,Date,Name of the school,KLP ID,Grama Panchayat,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q1,Q2,Q3,Q4,Q5,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Total
Bangalore rural,Hosakote,35885,GKLPS M Sathyavara,29210403101,M Sathyavara,20,20,0,0,20,0,0,20,0,0,0,20,0,20,0,0,18,2,0,9,11,0,18,2,0,18,2,0,12,8,0,M Sathyavara,Bangalore Rural,Hosakote,25/10/2016,GLPS M Sathyavara,35885,Jayamma,0.91,0.45,0.45,0.36,0.36,0.36,0.18,0.55,0.64,0.55,0,0.64,0.82,0.18,0.18,0.18,0.18,0.27,0.18,0.18,7.64
Bangalore rural,Hosakote,35902,GKHPS Mallimakanapura,29210416501,Mallimakanapura,30,30,0,0,30,0,0,30,0,0,0,30,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,Mallikanapura,Bangalore Rural,Hosakote,24/09/2016,GHPS Mallimakanapura,35902,Chokkahalli,0.5,0.25,0.25,0.5,0.25,0,0,0.25,0.5,0.5,0,0,0.75,0,0,0.25,0,0.5,0,0.25,4.75
Bangalore Rural,Hosakote,35934,GLPS Manchappanahalli,29210408801,Manchappanahalli,10,10,0,0,10,0,0,10,0,0,0,10,0,9,1,0,10,0,0,8,2,0,9,1,0,7,3,0,10,0,0,Manchappanahalli,Bangalore Rural,Hosakote,24/09/2016,GLPS Manchappanahalli,35934,Thavarekere,0.64,0.27,0.45,0.09,0.18,0.09,0.18,0.64,0.64,0.64,0.36,0.27,0.82,0,0,0,0.36,0.45,0.45,0.27,6.82
Bangalore Rural,Hosakote,35927,GLPS Marasandahalli,29210409501,Marasandahalli,11,10,1,0,11,0,0,11,0,0,0,11,0,9,2,0,10,1,0,5,6,0,11,0,0,10,1,0,8,3,0,Marasandahalli,Bangalore Rural,Hosakote,01/10/2016,GLPS Marasandahalli,35927,Hettakki,1,0.86,1,0.86,0.43,0.43,0.43,1,1,1,0.57,0.57,1,0.57,0.71,0.43,0.57,0.71,0.86,0,14
Bangalore rural,Hosakote,35998,G LPS MEDIMALLASANDRA,29210420501,Medimallasandra,20,20,0,0,20,0,0,20,0,0,0,20,0,20,0,0,20,0,0,15,5,0,16,4,0,17,3,0,0,20,0,Medimallasandra,Bangalore Rural,Hosakote,24/12/2016,GHPS Medimallasandra,35998,Anugondanahalli,1,0.75,1,0.25,0.75,0.75,0.75,0.25,0.25,1,0.25,1,1,0.75,0,0,0,0,0.5,0,10.25
Bangalore Rural,Hosakote,35983,Ghps Mutsandra,29210420001,Mutsandra,60,60,0,0,60,0,0,60,0,0,0,60,0,60,0,0,60,0,0,45,15,0,48,12,0,40,20,0,0,60,0,Muthasandra,Bangalore Rural,Hosakote,04/10/2016,GHPS Muthasandra,35983,Muthasandra,0.86,0.57,0.57,0.29,0.43,0.57,0.57,0.86,0.71,0.71,0.57,0.71,0.86,0.14,0.29,0,0.14,0.43,0.43,0.14,9.86
Bangalore rural,Hosakote,36188,GKLPS Muttukadahalli,29210404101,Muttukadahalli,10,10,0,0,10,0,0,10,0,0,0,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,Muttukadahalli,Bangalore Rural,Hosakote,25/10/2016,GLPS Muttukadahalli,36188,Jayamma,1,1,1,1,0.67,0,0,0.67,1,1,0.67,0.67,1,0.33,0,0.33,0.33,0,0.67,0,11.33
Bangalore rural,Hosakote,36081,GKHPS  N Hosahalli,29210406401,N Hosahalli,37,30,7,0,35,0,2,37,0,0,1,35,1,26,2,9,31,6,0,19,18,0,25,12,0,25,12,0,23,14,0,N Hosahalli ,Bangalore Rural,Hosakote,24/12/2016,GHPS NHosahalli,36081,Nandagudi,0.78,0.78,1,0.89,0.67,0.56,0.89,0.89,1,1,0.56,0.67,1,0.67,0.33,0.67,0.78,0.78,1,0.56,15.44
Bangalore rural,Hosakote,36086,GLPS Naduvinapura,29210406802,Naduvinapura,13,13,0,0,13,0,0,13,0,0,8,5,0,12,1,0,12,1,0,7,6,0,13,0,0,10,3,0,13,0,0,Naduvinapura,Bangalore Rural,Hosakote,24/12/2016,GLPS Naduvinapura,36086,Nandagudi,1,0.75,0.75,0.5,1,0.75,1,1,1,1,1,1,1,1,0.5,0,1,1,1,0,16.25
Bangalore Rural,Hosakote,35980,GLPS Harohalli,29210419601,Harohalli,30,30,0,0,30,0,0,30,0,0,0,30,0,30,0,0,25,5,0,21,9,0,20,10,0,10,20,0,0,30,0,Naganayakana Kote,Bangalore Rural,Hosakote,04/10/2016,GLPS Harohalli,35980,Muthasandra,0.88,0.5,0.38,0.25,0.25,0.38,0.25,0.75,0.75,0.63,0.25,0.5,0.88,0.38,0.13,0,0.25,0.63,0.5,0.13,8.63
Bangalore rural,Hosakote,35979,GKLPS Naganayakana Kote,29210420801,Naganayakana kote,24,24,0,0,24,0,0,22,0,2,0,22,2,22,0,2,19,3,2,16,6,2,16,6,2,16,6,2,0,6,18,Naganayakana Kote,Bangalore Rural,Hosakote,04/10/2016,GLPS Naganayakana Kote,35979,Muthasandra,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,7
Bangalore Rural,Hosakote,36076,GHPS Nandagudi,29210405801,Nandagudi,117,47,70,0,109,1,7,117,0,0,11,90,16,48,33,36,67,50,0,30,87,0,57,60,0,58,59,0,55,62,0,Nandagudi ,Bangalore Rural,Hosakote,24/12/2016,GHPS Nandagudi,36076,Nandagudi,0.86,0.52,0.62,0.29,0.33,0.19,0.29,0.76,0.76,0.76,0.52,0.48,0.81,0.14,0.1,0.1,0.38,0.57,0.57,0.14,9.19
Bangalore rural,Hosakote,35912,GKHPS Nelavagilu,29210405401,Nelavagilu,50,32,18,0,50,0,0,46,4,0,40,10,0,50,0,0,50,0,0,41,9,0,48,2,0,45,5,0,26,24,0,Nelavagilu,Bangalore Rural,Hosakote,24/09/2016,GHPS Nelavagilu,35912,Nelavagilu,1,0.67,0.67,0,0.33,0.33,0.17,0.83,0.67,0.67,0.5,0.17,1,0,0,0.17,0.67,0.83,0.67,0.33,9.67
Bangalore Rural,Hosakote,36230,GLPS Obalahalli,29240407301,Obalahalli,12,12,0,0,12,0,0,12,0,0,1,11,0,12,0,0,12,0,0,6,6,0,12,0,0,10,2,0,12,0,0,Obalahalli,Bangalore Rural,Hosakote,01/10/2016,GLPS Obalahalli,36230,Hettakki,1,0.6,0.7,0.6,0.6,0.6,0.6,0.8,0.8,0.6,0.4,0.7,1,0.4,0.2,0.4,0.5,0.6,0.9,0,12
Bangalore rural,Hosakote,36103,GKLPS Paramanahalli,29210414501,Vagata,10,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,6,4,0,6,4,0,6,4,0,6,4,0,7,3,0,Paramanahalli ,Bangalore Rural,Hosakote,24/12/2016,GLPS Paramanahalli,36103,Khajihosahalli,0.75,0.75,0.25,0.75,0.75,0.25,0.75,1,0.5,0.25,0,0.25,1,0.25,0,0,0.25,0.5,0.25,0.25,8.75
Bangalore Rural,Hosakote,36202,GLPS Pillagumpe,29210416701,Pillagumpe,35,35,0,0,35,0,0,35,0,0,10,20,5,32,1,2,31,4,0,18,17,0,20,15,0,17,18,0,29,5,1,Pillagumpe,Bangalore Rural,Hosakote,24/09/2016,GLPS Pillagumpe,36202,Chokkahalli,1,0.25,0.63,0.25,0.25,0.5,0.5,0.88,0.63,1,0,0.13,0.75,0.25,0.38,0.13,0.25,1,0.38,0.13,9.25
Bangalore Rural,Hosakote,36208,GLPS Poojen Agrahara,29210418001,Doddagattinabbe,20,20,0,0,20,0,0,20,0,0,0,20,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,Poojena Agrahara,Bangalore Rural,Hosakote,01/10/2016,GLPS Poojena Agrahara,36208,Doddagattinabbe,0.5,0.5,0.5,0,0,0,0,1,0.5,1,0.5,0.5,1,0,0,0,0,0.5,0.5,0,7
Bangalore rural,Hosakote,36067,G LPS Ralakunte,29210400501,Ralakunte,16,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,10,6,0,11,5,0,9,7,0,11,5,0,Ralakunte,Bangalore Rural,Hosakote,24/12/2016,GLPS Ralakunte,36067,Ittasandra,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3
Bangalore rural,Hosakote,36187,GKLPS Ramagovindapura,29210405701,Ramagovindapura,15,0,15,0,0,15,0,15,0,0,0,15,0,14,1,0,13,2,0,8,7,0,14,1,0,14,1,0,7,8,0,Ramagovinda Pura,Bangalore Rural,Hosakote,24/12/2016,GLPS Ramagovindapura,36187,Ittasandra,0.83,0.17,0.17,0.33,0.5,0,0,0.5,0.5,0.5,0.17,0.17,1,0.33,0.17,0,0.17,0.5,0.33,0.17,6.5
Bangalore Rural,Hosakote,36007,GLPS Guttahalli,29210417401,Doddagattinabbe,20,20,0,0,20,0,0,20,0,0,0,20,0,20,0,0,20,0,0,17,3,0,17,3,0,17,3,0,17,3,0,S Guttahalli,Bangalore Rural,Hosakote,01/10/2016,GLPS S Guttahalli,36007,Doddagattinabbe,0.67,0.33,0.33,0,0.17,0.17,0.17,0.67,0.67,0.67,0.33,0.5,1,0,0,0,0,0.67,0.5,0.17,7
Bangalore Rural,Hosakote,35884,GLPS Sadappanahalli,29210403001,Sadappanahalli,10,10,0,0,10,0,0,10,0,0,9,1,0,9,0,1,10,0,0,6,4,0,10,0,0,9,1,0,9,1,0,Sadappanahalli,Bangalore Rural,Hosakote,24/12/2016,GLPS Sadappanahalli,35884,Giddappanahalli,0.86,0.86,0.86,0.86,0.71,0.86,1,0.71,1,1,0.86,0.86,1,0.57,0.57,0.57,0.86,0.86,0.71,0.43,16
Bangalore rural,Hosakote,36242,GKLPS Shashimakanahalli,29210401901,Shashimakanahalli,10,7,3,0,10,0,0,10,0,0,10,0,0,6,2,2,10,0,0,8,2,0,8,2,0,9,0,1,8,2,0,Shashimakanahalli,Bangalore Rural,Hosakote,24/12/2016,GLPS Shashimakanahalli,36242,Doddaralagere,1,0.67,0.67,0.67,0.67,0.33,0.33,1,1,0.67,0.67,0,1,1,0.33,0,0.67,1,1,0.33,13
Bangalore rural,Hosakote,35913,GKHPS Siddanahalli,29210401602,Siddanahalli,29,23,6,0,27,2,0,29,0,0,23,5,1,27,0,2,26,3,0,21,8,0,26,3,0,25,4,0,20,9,0,Siddanahalli,Bangalore Rural,Hosakote,24/09/2016,GHPS Siddanahalli,35913,Nelavagilu,0.75,0.75,0.75,0.25,0.5,0.5,0.5,1,1,0.5,0.25,0.75,0.75,0.5,0,0,1,0.75,1,0,11.5
Bangalore rural,Hosakote,35877,GKLPS Siddenahalli,29210401601,Siddenahalli,46,21,25,0,33,6,7,46,0,0,42,0,4,31,4,11,41,2,3,16,25,5,38,8,0,36,10,0,24,18,4,Siddenahalli,Bangalore Rural,Hosakote,24/12/2016,GHPS Siddenahalli,35877,Giddappanahalli,1,0.5,1,0.5,0.5,0.25,0.75,0.75,0.75,1,0.75,0.25,1,0.5,0.5,0.25,0.75,1,0.75,0,12.75
Bangalore Rural,Hosakote,36139,GHPS Sulibele,29210401501,Sulibele,60,59,1,0,59,0,1,53,0,7,8,42,10,36,21,3,60,0,0,30,29,1,54,6,0,42,17,1,27,32,1,Sulibele ,Bangalore Rural,Hosakote,23/12/2016,GHPS Sulibele,36139,Sulibele,0.81,0.38,0.48,0.19,0.24,0.14,0.14,0.38,0.48,0.38,0.24,0.38,0.76,0.24,0.05,0.05,0.19,0.43,0.52,0.1,6.57
Bangalore rural,Hosakote,36025,GKLPS Thimmappanahalli,29210400101,Thimmappanahalli,12,11,1,0,12,0,0,12,0,0,12,0,0,7,3,2,8,4,0,6,6,0,8,4,0,6,6,0,12,0,0,Thimmappanahalli,Bangalore Rural,Hosakote,24/12/2016,GLPS Thimmappanahalli,36025,Doddaralagere,0.75,0.75,0.75,0.25,0.75,0.75,0.75,0.75,1,1,0.75,0.75,1,0.5,0.5,0,1,0.75,1,0.25,14
Bangalore rural,Hosakote,35985,GHPS Thindlu,29210414701,Thindlu,23,23,0,0,23,0,0,23,0,0,1,22,0,22,0,1,13,10,0,7,16,0,14,9,0,14,9,0,17,6,0,Thindlu ,Bangalore Rural,Hosakote,24/12/2016,GLPS Thindlu,35985,Khajihosahalli,0.83,0.83,0.83,0.67,0.5,0.33,0.33,0.5,0.67,0.33,0.17,0.67,0.67,0.5,0.17,0,0.33,0.67,0.67,0.17,9.83
Bangalore Rural,Hosakote,36229,GLPS Ulavanahalli,29210407201,Ulavanahalli,15,15,0,0,14,0,1,14,0,1,13,2,0,10,3,2,9,6,0,3,12,0,8,7,0,8,7,0,7,8,0,Ulavanahalli,Bangalore Rural,Hosakote,01/10/2016,GLPS Ulavanahalli,36229,Hettakki,1,0.67,0.67,0,0,0,0,0,1,0.67,0.33,0.33,1,0,0,0.33,1,1,0.67,0.33,9
Bangalore rural,Hosakote,36080,GKLPS Vaddanahalli,29210406001,Vaddanhalli,17,17,0,0,17,0,0,17,0,0,16,1,0,17,0,0,16,1,0,12,5,0,15,2,0,11,6,0,14,3,0,Vaddahalli ,Bangalore Rural,Hosakote,24/12/2016,GLPS Vaddahalli,36080,Nandagudi,1,0.75,0.75,0.75,0.75,0.5,0.75,1,0.75,0.5,0.75,0.75,0.75,0,0.5,0,0.5,0.5,0.75,0,12
Bangalore rural,Hosakote,35911,GKLPS Yethinodayanapura,29210405301,Yethinodayanapura,7,6,1,0,7,0,0,7,0,0,4,3,0,7,0,0,7,0,0,1,6,0,5,2,0,2,5,0,4,3,0,Yethonodeyanapura,Bangalore Rural,Hosakote,24/09/2016,GLPS Yethinodeyanapura,35911,Nelavagilu,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,9
Bellary,Bellary,3199,GHPS Orvai (W),29120107001,Orvai,160,50,110,0,39,76,45,127,1,32,15,103,42,92,17,51,156,0,4,0,118,42,115,6,39,35,87,38,16,144,0,Orvai,Bellary,Bellary West,15/10/2016,GHPS Orvai,3199,Akkamahadevi,0.62,0.35,0.35,0.15,0.06,0.12,0.09,0.32,0.59,0.56,0.15,0.09,0.68,0.06,0,0.26,0.15,0.29,0.24,0.24,5.35
Bellary,Hagaribommanahalli,3411,GKLPS Dibbadahalli,29120300502,Diddadahalli,20,20,0,0,11,9,0,14,6,0,6,9,5,7,5,8,17,2,1,7,12,1,15,5,0,4,15,1,4,15,1,Dibbadahalli,Bellary,Hagaribommanahalli,04/03/2017,GLPS Dibbadahalli,3411,Alaburu,0.5,0.25,1,0.25,0.75,0.75,1,1,0.5,1,1,0,0.75,1,0.75,0,1,1,1,0,13.5
Bellary,Hagaribommanahalli,3412,GKLPS Honnihalli,29120300503,Honnihalli,20,20,0,0,9,10,1,15,5,0,6,10,4,3,11,6,16,2,2,12,8,0,9,5,6,12,8,0,6,14,0,Honnihalli,Bellary,Hagaribommanahalli,04/03/2017,GLPS Honnihalli,3412,Alaburu,0.71,0.57,0.86,0.57,0.43,0.14,0.71,0.86,0.71,1,0.86,0.43,1,0.71,0.71,0.43,0.29,0.71,0.86,1,13.57
Bellary,Hospet,3553,GKLPS Anjanapura Ashraya colony,29120503103,Anjanapura,15,8,7,0,5,1,9,6,5,4,0,6,9,0,0,15,14,0,1,5,7,3,4,6,5,0,11,4,0,10,5,Anjanapura,Bellary,Hospet,31/12/2016,GHPS Anjanapura,3553,Hampadevanahalli,1,0.5,0.75,0.5,0.5,0.75,0.75,1,1,0.5,0.5,0,0.75,0.25,0.25,0,0.5,0.75,0.75,0.25,11.25
Bellary,Hospet,3543,GHPS Chikkajaiganur,29120500901,Chikkajaiganur,80,30,30,20,16,30,34,80,0,0,14,31,35,5,53,22,79,0,1,3,77,0,76,2,2,1,77,2,2,36,42,Chikkajaiganur,Bellary,Hospet,31/12/2016,GHPS Chikkajaiganur,3543,Hampadevanahalli,0.72,0.2,0.24,0.16,0.16,0.2,0.16,0.48,0.56,0.64,0.08,0.12,0.8,0.16,0.2,0.44,0.32,0.4,0.44,0.12,6.6
Bellary,Hospet,3535,GHPS Nagalapura,29120504703,G Nagalapura,20,7,13,0,9,5,6,19,0,1,5,5,10,2,5,13,18,0,2,1,16,3,11,3,6,5,9,6,0,12,8,G Nagalapura,Bellary,Hospet,01/12/2016,GHPS G Nagalapura,3535,G Nagalapura,0.71,0.19,0.29,0.29,0.33,0.05,0.05,0.62,0.76,0.81,0.38,0.48,0.76,0.24,0,0.38,0.48,0.33,0.48,0.29,7.9
Bellary,Hospet,3530,GHPS Gollarahalli,29020502101,Gollarahalli,100,4,96,0,21,9,70,96,3,1,3,10,87,46,5,49,88,11,1,2,98,0,94,6,0,13,87,0,2,3,95,Gollarahalli,Bellary,Hospet,22/11/2016,GHPS Gollarahalli,3530,Danayakanakere,0.7,0.2,0.5,0,0,0,0,0.5,0.3,0.3,0,0,0.7,0,0,0.1,0,0.2,0.3,0,3.8
Bellary,Hospet,3534,GLPS Gunda Thanda,29120504702,Gunda thanda,80,28,52,0,46,21,13,68,5,7,38,35,7,19,45,16,57,20,3,14,63,3,50,29,1,45,35,0,16,61,3,Gunda thanda ,Bellary,Hospet,01/12/2016,GLPS Gunda thanda ,3534,G Nagalapura,0.81,0.52,0.62,0.33,0.38,0.33,0.38,0.57,0.86,0.9,0.48,0.29,0.76,0.33,0,0.1,0.57,0.67,0.76,0.24,9.9
Bellary,Hospet,38013,GKLPS Indira Gandhi nagar,29120504013,Indiranagara,20,12,8,0,2,1,17,6,3,11,3,7,10,2,0,18,20,0,0,7,13,0,8,12,0,6,14,0,0,10,10,Indira Gandhi Nagar M M Halli,Bellary,Hospet,12/11/2016,GLPS Indira Gandhi Nagar M M Halli,38013,Mariyammanahalli,0.83,0.67,0.83,0.83,0.67,0.17,0.17,0.83,0.83,0.83,0.17,0.17,1,0.5,0.17,0.33,0.67,0.17,0.33,0.33,10.5
Bellary,Hospet,3608,GKLPS Kotiginahal,29120503701,Kotiginahal,15,10,5,0,6,1,8,7,3,5,2,6,7,0,0,15,13,2,0,9,6,0,6,9,0,1,14,0,0,15,0,Kotiginahal,Bellary,Hospet,14/03/2017,GLPS Kotiginahal,3608,Gadhiganur,0.7,0.3,0.2,0.1,0.1,0,0,0.4,0.9,0.3,0.2,0,0.4,0.8,0.1,0.7,0,0.7,0.2,0.9,7
Bellary,Hospet,3579,GKLPS Krishnapura,29120507201,Krishnapura,10,5,5,0,2,1,7,3,1,6,1,2,7,0,0,10,7,2,1,4,4,2,4,2,4,3,3,4,0,4,6,Krishnapura,Bellary,Hospet,03/12/2016,GLPS Krishnapura,3579,Hampi,0.75,0.58,0.58,0.5,0.42,0.67,0.67,0.67,0.67,0.58,0.5,0.08,0.83,0.08,0.33,0,0.67,0.67,0.58,0.08,9.92
Bellary,Hospet,3540,GHPS Pothalakatte,29120505701,Pothalakatte,80,35,45,0,32,45,3,80,0,0,34,40,6,0,55,25,72,8,0,15,59,6,67,13,0,24,50,6,4,59,17,Pothalakatti,Bellary,Hospet,26/11/2016,GHPS Pothalakatti,3540,Chilakanahatti,0.8,0.7,0.6,0.6,0.4,0.4,0.2,0.7,0.8,0.7,0.7,0.4,1,0.3,0.1,0.1,0.3,0.3,0.3,0,9.4
Bellary,Hospet,3532,GKLPS T Basapura,29120505501,T Basapura,10,7,3,0,1,1,8,1,3,6,0,3,7,0,0,10,7,2,1,4,5,1,4,5,1,2,7,1,0,7,3,T Basapur,Bellary,Hospet,26/11/2016,GLPS T Basapura,3532,Chilakanahatti,0.6,0,0.2,0.2,0.4,0.4,0.4,0.6,0.8,1,1,0.2,0.6,0.6,0.6,0.4,1,0,1,0,10
Bidar,Aurad,4545,GHPS Belkunchi (CH),29050101201,Belkuni (CH),120,37,32,51,20,48,52,53,19,48,35,26,59,30,39,51,58,16,46,37,24,59,40,28,52,39,27,54,33,36,51,Belkuni (CH),Bidar,Aurad,24/01/2017,GHPS Belkuni(CH),4545,Belkoni (CH),0.97,0.87,0.93,0.77,0.5,0.8,0.83,0.8,1,1,1,0.97,1,0.97,0.93,0.87,1,1,1,0.97,18.17
Bidar,Aurad,4647,GHPS Bhavani bigalgoan,29050102202,Bhavani bigalgoan,40,23,17,0,15,9,16,11,3,26,16,5,19,18,5,17,16,5,19,17,4,19,17,4,19,17,5,18,19,7,14,Bhavani bigalgaon,Bidar,Aurad,12/02/2017,GHPS Bhavani bigalgaon,4647,Belkoni,1,0.33,0.83,0.83,0.83,0.83,1,0.5,0.33,0.33,0,0.33,1,0,0,0,0,0.83,0.33,0,9.33
Bidar,Aurad,4617,GHPS Chandori,29050103101,Chandori,37,16,12,9,3,17,17,25,6,6,8,12,17,3,22,12,24,3,10,11,6,20,17,8,12,14,6,17,13,9,15,Chandoori ,Bidar,Aurad,27/11/2016,GHPS Chandoori ,4617,Chandoori ,0.8,0.8,1,0.4,0,0.6,0.8,0.8,1,0.6,0.4,0.6,0.8,0.4,0.4,0,0.6,0.4,0.6,0,11
Bidar,Aurad,4500,GHPS Gudapalli,29050104801,Gudapalli,120,71,49,0,5,59,56,75,7,38,25,48,47,12,68,40,85,6,29,43,30,47,39,28,53,46,32,42,34,43,43,Gudapalli,Bidar,Aurad,17/09/2016,GHPS Gudapalli,4500,Gudapalli,0.88,0.38,0.66,0.22,0.34,0.41,0.44,0.59,0.84,0.63,0.75,0.16,0.88,0.44,0.13,0.75,0.38,0.28,0.53,0.59,10.25
Bidar,Aurad,4619,GHPS Halhalli,29050105601,Halahalli,35,16,11,8,5,16,14,26,2,7,7,11,17,4,20,11,28,2,5,12,8,15,15,8,12,12,8,15,15,9,11,Halhalli ,Bidar,Aurad,27/11/2016,GHPS Halhalli ,4619,Chandoori ,1,0.25,0.42,0.17,0.08,0.08,0.08,0.67,0.92,0.83,0.17,0.08,0.83,0.42,0,0,0.75,0.33,0.33,0,7.42
Bidar,Aurad,4549,GMPS Hedgapur,29050105801,Hedgapur,65,24,17,24,30,21,14,31,21,13,21,21,23,29,23,13,23,23,19,29,16,20,24,20,21,27,14,24,25,30,10,Hedgapur,Bidar,Aurad,24/01/2017,GMPS Hedgapur,4549,Hedgapur,1,0.17,0.5,0.21,0.08,0.33,0.46,0.46,0.79,0.71,0.38,0.13,0.92,0.46,0.29,0.17,0.71,0.08,0.42,0.5,8.75
Bidar,Aurad,4501,GLPS Jonnekeri,29050106601,Jonnekeri,50,23,17,10,20,21,9,25,15,10,20,20,10,16,22,12,30,10,10,21,21,8,23,19,8,27,14,9,19,21,10,Jonnekeri,Bidar,Aurad,17/09/2016,GLPS Jonnekeri,4501,Santhpur,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,1,0.75,0.25,0.25,0.75,0.75,0.5,0,0.75,0.75,0.75,0.25,12.25
Bidar,Aurad,4476,GOVT MPS KAMALNAGAR,29050108001,Kamalanagar,70,32,25,13,5,34,31,50,4,16,14,23,33,7,44,19,49,4,17,25,16,29,28,13,29,26,12,32,16,35,19,Kamalanagar,Bidar,Aurad,26/10/2016,GMPS Kamalanagar,4476,Mathra bai,1,1,1,0.67,0.33,1,0,1,1,0.67,1,1,1,1,0.67,1,1,1,1,0,16.33
Bidar,Aurad,4454,GHPS Nagmarpalli,29050111801,Nagmarpalli,150,48,43,59,34,39,77,55,26,69,51,30,69,37,31,82,48,30,72,48,27,75,46,34,70,52,37,61,46,43,61,Nagmarpalli,Bidar,Aurad,28/01/2017,GHPS Nagmarpalli,4454,Nagmarpalli,1,0.8,0.7,0.1,0.3,0.6,0.5,0.6,1,0.7,0.8,1,0.9,0.6,0.5,0,1,0.7,1,0.8,13.6
Bidar,Aurad,4511,GMPS Santapur,29050114001,Santhpur,100,51,29,20,45,39,16,46,27,27,41,41,18,20,56,24,76,13,11,32,50,18,50,31,19,50,39,11,32,54,14,Shanthpur,Bidar,Aurad,17/09/2016,GHPS Santhpur,4511,Santhpur,0.73,0.27,0.31,0.19,0.19,0.04,0.27,0.5,0.81,0.69,0.54,0.27,0.88,0.19,0.12,0,0.12,0.5,0.54,0.23,7.38
Bidar,Aurad,4610,GKPS Sundal,29050113201,Sundal,100,60,39,1,37,24,39,37,21,42,44,22,34,41,27,32,39,22,39,44,24,32,38,24,38,45,16,39,48,33,19,Sundal,Bidar,Aurad,24/01/2017,GHPS Sundal,4610,Sundal,0.69,0.69,0.38,0.15,0,0.08,0.08,0.15,0.31,0.23,0.15,0.15,0.92,0.08,0.23,0,0,0.08,0.38,0,4.77
Bidar,Aurad,4615,GHPS Yangunda,29050115301,Yangunda,120,71,49,0,52,41,27,60,42,18,76,22,22,65,25,30,81,16,23,69,30,21,78,26,16,75,32,13,74,31,15,Yangunda,Bidar,Aurad,24/01/2017,GHPS Yangunda,4615,Sundal,0.86,0.29,0.36,0.14,0.07,0.29,0.29,0.36,0.71,0.5,0.57,0.71,1,0.36,0,0,0,0.21,0.21,0,6.93
Bidar,Bidar,5212,GHPS Baroor,29050402601,Baroor,70,20,40,10,18,13,39,14,18,38,24,15,31,14,24,32,18,13,39,14,17,39,24,15,31,14,24,32,18,13,39,Baroor,Bidar,Bidar,18/02/2017,GHPS Baroor,5212,Baroor,0.5,0.17,0.22,0.33,0.11,0.11,0.11,0.11,0.39,0.44,0.17,0.11,0.5,0.11,0.11,0.11,0.11,0.22,0.11,0.11,4.17
Bidar,Bidar,5203,GHPS Kamthana,29050405601,Kamthana,150,64,53,33,66,39,45,67,41,42,46,60,44,74,41,35,72,46,32,66,55,29,66,42,42,75,45,30,64,55,31,Kamthana,Bidar,Bidar,31/12/2016,GHPS Kamthana,5203,Kamthana,0.71,0.58,0.65,0.65,0.6,0.52,0.44,0.54,0.65,0.83,0.73,0.58,0.9,0.63,0.62,0.42,0.56,0.56,0.75,0.44,12.37
Bidar,Bidar,5242,GHPS Sangolgi,29050411001,Sangolgi,79,33,37,9,22,30,27,23,25,31,23,30,26,31,22,26,25,23,31,19,33,27,24,24,31,21,25,33,24,28,27,Sangolgi,Bidar,Bidar,10/09/2016,GHPS Sangolgi,5242,Sangolgi,0.9,0.6,0.6,0,0,0.1,0,0.4,0.7,0.7,0.7,0.5,1,0.1,0,0.3,0.6,0.8,0.7,0.7,9.4
Bidar,Humnabad,5521,GHPS Sindankera,29050507701,Sindankera,70,31,39,0,29,24,17,44,26,0,39,31,0,41,23,6,48,22,0,33,37,0,40,30,0,30,40,0,20,39,11,Sindankera,Bidar,Bidar,24/10/2016,GHPS Sindankera,5521,Leelavathi,0.94,0.11,0.94,0.61,0.67,0.56,0.33,0.17,0.83,0.67,0.94,0.67,0.94,0.22,0.11,0.78,0.56,0.28,1,0.61,11.94
Bidar,Humnabad,5584,GMPS Changler,29050501601,Changlera,89,41,48,0,43,0,46,83,6,0,66,23,0,58,2,29,84,5,0,55,34,0,78,11,0,63,26,0,54,35,0,Changlera,Bidar,Humnabad,24/12/2016,GMPS Changlera,5584,Changlera,0.65,0.38,0.58,0.69,0.08,0.38,0.38,0.85,0.42,0.81,0.73,0.69,0.73,0.46,0.31,0,0.46,0.92,0.85,0.92,11.31
Bidar,Humnabad,5472,GMPS Hallikhed (B),29050502801,Hallikhed (B),70,24,46,0,24,0,46,67,3,0,39,31,0,50,0,20,69,1,0,50,20,0,61,9,0,50,20,0,39,31,0,Hallikhed B,Bidar,Humnabad,10/09/2016,GMPS Hallikhed B,5472,Hallikhed B,0.94,0.35,0.41,0.18,0.29,0.18,0.06,0.47,0.24,0.76,0.29,0.18,0.94,0.18,0,0.24,0,0,0.53,0.18,6.41
