district,block,klpid,school_name,dise_code,village,child_count,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,Village,District,Block,Date,Name of the school,KLP ID,Grama Panchayat,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q1,Q2,Q3,Q4,Q5,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Total
Bangalore rural,Hosakote,35894,GKLPS Bhimakanahalli,29210404501,Bhimakanahalli,18,18,0,0,18,0,0,18,0,0,2,15,1,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,17,1,0,Bheemakanahalli,Bangalore Rural,Hosakote,25/10/2016,GLPS Bheemakanahalli,35894,Jayamma,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,1,0.67,0.33,0.67,0.67,0,0,0,0.67,0.33,1,0,8.33
Bangalore Rural,Hosakote,36649,GLPS Cheemandahalli,29210418201,Cheemandahalli,15,15,0,0,15,0,0,15,0,0,0,15,0,15,0,0,15,0,0,11,4,0,10,5,0,10,5,0,14,1,0,Cheemandahalli,Bangalore Rural,Hosakote,01/10/2016,GLPS Cheemandahalli,36649,Doddagattinabbe,1,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,0,0.5,0,0,1,1,0.5,14
Bangalore Rural,Hosakote,36186,GLPS Cheemasandra,29210400701,Cheemasandra,25,25,0,0,22,3,0,25,0,0,0,25,0,24,1,0,25,0,0,14,11,0,21,4,0,9,16,0,23,2,0,Cheemasandra,Bangalore Rural,Hosakote,24/12/2016,GLPS Cheemasandra,36186,Ittasandra,0.8,0.4,0.4,0.2,0.2,0.6,0.4,0.6,0.4,0.4,0.6,0.2,0.8,0.4,0,0,0.4,0.6,0.8,0,8.2
Bangalore rural,Hosakote,36030,GKLPS Chikka Aralagere,29210401101,Chikka Aralagere,7,5,2,0,7,0,0,6,0,1,5,2,0,4,1,2,5,2,0,3,3,1,6,1,0,5,1,1,5,1,1,Chikka Aralagere,Bangalore Rural,Hosakote,24/12/2016,GLPS Chikka Aralagere,36030,Doddaralagere,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,6
Bangalore Rural,Hosakote,36199,GLPS Chikkahullur,29210416201,Chikkahullur,25,25,0,0,25,0,0,25,0,0,3,17,5,21,0,4,24,0,1,16,7,2,20,5,0,15,9,1,13,11,1,Chikkahullur,Bangalore Rural,Hosakote,24/09/2016,GLPS Chikkahullur,36199,Chokkahalli,1,0.6,0.8,0.2,0,0,0,0.4,0.4,0.4,0.2,0.4,1,0,0,0,0,0,0.2,0,5.6
Bangalore Rural,Hosakote,36214,GLPS Chikkanallurahalli,29210416601,Chikkanallurahalli,20,17,3,0,17,0,3,19,1,0,2,11,7,15,0,5,18,2,0,10,10,0,12,6,2,12,8,0,13,7,0,Chikkanallurahalli,Bangalore Rural,Hosakote,24/09/2016,GLPS Chikkanallurahalli,36214,Chokkahalli,0.83,0.83,0.67,0.17,0.67,0.33,0.5,0.83,0.67,0.67,0.33,0.33,0.83,0.5,0.33,0.33,0.5,0.83,0.83,0.17,11.17
Bangalore Rural,Hosakote,35908,GHPS Chikkondahalli,29210405002,Chikkondahalli,4,3,1,0,4,0,0,4,0,0,0,4,0,0,4,0,1,3,0,1,3,0,2,2,0,1,3,0,4,0,0,Chikkondahalli,Bangalore Rural,Hosakote,24/09/2016,GHPS Chikkondahalli,35908,Nelavagilu,0.83,0.5,0.67,0.17,0.33,0.33,0.5,0.67,0.83,0.67,0.33,0.17,1,0.17,0,0.17,0.33,0.67,0.67,0.17,9.17
Bangalore Rural,Hosakote,36198,GLPS Chokkahalli,29210416301,Chokkahalli,10,9,1,0,10,0,0,10,0,0,3,6,1,9,0,1,10,0,0,5,5,0,8,2,0,6,4,0,5,0,5,Chokkahalli,Bangalore Rural,Hosakote,24/09/2016,GLPS Chokkahalli,36198,Chokkahalli,1,0.25,0.75,0.75,0.25,0.5,0.5,0.75,1,0.75,0.75,0.5,1,0.5,0.25,0.5,0.5,1,1,0.25,12.75
Bangalore rural,Hosakote,36197,GKLPS Cholappanahalli,29210416401,Cholappanahalli,40,40,0,0,40,0,0,40,0,0,0,39,1,38,0,2,40,0,0,40,0,0,40,0,0,36,3,1,22,18,0,Cholappanahalli,Bangalore Rural,Hosakote,24/09/2016,GLPS Cholappanahalli,36197,Chokkahalli,0.67,1,1,1,0.33,0.33,0.67,0.67,1,1,0.67,0.67,1,0.33,0.67,0,1,0.67,1,0.33,14
Bangalore rural,Hosakote,35909,GKHPS Dalasagere,29210405101,Dalasagere,13,10,3,0,9,0,4,13,0,0,9,4,0,9,3,1,13,0,0,9,4,0,13,0,0,13,0,0,9,4,0,Dalasagere,Bangalore Rural,Hosakote,24/09/2016,GHPS Dalasagere,35909,Nelavagilu,0.75,0.5,0.5,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.75,0,0,0.25,0,0.5,0.25,0.25,5.5
